#ID	Name
G0	SOX2
G1539	MEG3
G1540	TMEM150A
G1541	GM22094
G1542	SLC7A5
G1543	SOCS2
G1544	ARFGAP1
G1545	ICAM1
G1546	LY6E
G1547	ZFP979
G1548	SNORA73A
G1549	CCN2
G1550	SLCO3A1
G1551	UAP1
G1552	DAP
G1553	SNHG3
G1554	MIR7005
G1555	GM24507
G1556	BSG
G1557	RFFL
G1558	LY6G6E
G1559	AFF1
G1560	KRT42
G1561	SAT1
G1562	FST
G1563	ENAH
G1564	GRAMD1A
G1565	SLC25A5
G1566	TSPAN4
G1567	HIST1H2AI
G1568	SFI1
G1569	GGTA1
G1570	MIR6928
G1571	CAR2
G1572	SRM
G1573	HIST1H2BL
G1574	MIR3535
G1575	RPL17-PS10
G1576	ZFP987
G1577	ZFP978
G1578	SLC26A10
G1579	ARPC1B
G1580	SNORD17
G1581	MIR8091
G1582	PDGFRA
G1583	SIDT2
G1584	TMEM59
G1585	PLA2G1B
G1586	CALCOCO2
G1587	PDPN
G1588	COTL1
G1589	FUT8
G1590	MME
G1591	ZFP367
G1592	GM26387
G1593	MROH1
G1594	SERPING1
G1595	MYO5B
G1596	GPX3
G1597	TXNDC5
G1598	SLC7A3
G1599	SNORD87
G1600	NPHS1
G1601	HABP2
G1602	PLAT
G1603	1810032O08RIK
G1604	MIR1192
G1605	GM24640
G1606	PFKL
G1607	SDCBP
G1608	RPS6KA6
G1609	GM28037
G1610	MIR669G
G1611	GM26825
G1612	STARD10
G1613	ITGA6
G1614	TDGF1-PS1
G1615	MPP1
G1616	SNORA62
G1617	RETREG2
G1618	GM10718
G1619	SHISA5
