#ID	Name
G0	TEAD4
G1536	SMS-PS
G1537	SETX
G1538	MRPS5
G1539	MIR669A-3
G1540	PPIB
G1541	CRYBG2
G1542	GM26825
G1543	4930402H24RIK
G1544	GM21962
G1545	AKAP12
G1546	LTBP4
G1547	GM27326
G1548	ILDR1
G1549	CST3
G1550	GM23833
G1551	LAMA5
G1552	KHDC3
G1553	MCAM
G1554	SNRPN
G1555	TGM1
G1556	GM7329
G1557	MIR466O
G1558	ARHGEF40
G1559	JPT1
G1560	DPP4
G1561	MIR669E
G1562	FAM168A
G1563	NASP
G1564	PTH1R
G1565	ABCC5
G1566	SNORD83B
G1567	LGMN
G1568	ANK
G1569	CSRP1
G1570	GM22281
G1571	GM25663
G1572	OBSL1
G1573	PRPS2
G1574	MIR7005
G1575	ZFP990
G1576	SLC25A39
G1577	AI506816
G1578	DAP
G1579	GM22626
G1580	SSR3
G1581	SNHG3
G1582	GM22094
G1583	SELENOS
G1584	RBPMS2
G1585	ACADM
G1586	GM44330
G1587	GM49450
G1588	FAM25C
G1589	SAT1
G1590	TET1
G1591	WDR45
G1592	GM13166
G1593	F2R
G1594	UBE2C
G1595	ZC3H7A
G1596	ZFP57
G1597	GSTA4
G1598	GM24497
G1599	DENND2C
G1600	COL18A1
G1601	PARVB
G1602	RAB3IL1
G1603	MIR669F
G1604	GM25753
G1605	ARF4
G1606	UAP1
G1607	PCOLCE2
G1608	IFITM2
G1609	GM25943
G1610	ARPC1B
G1611	ADAM15
G1612	GM4202
G1613	SLCO3A1
G1614	FGF4
G1615	GM7846
G1616	CENPV
G1617	PIK3R1
G1618	POFUT2
G1619	NCAPD2
