#ID	Name
G0	TFAP4
G1536	GNPTAB
G1537	PRPS2
G1538	AMFR
G1539	MIR466O
G1540	SNORD93
G1541	MIR28B
G1542	GNAS
G1543	SNORD17
G1544	QDPR
G1545	DKK1
G1546	STAG3
G1547	EPHA2
G1548	CALU
G1549	GPRC5C
G1550	CYBA
G1551	NUP210
G1552	TET1
G1553	SLC35F5
G1554	SDF2L1
G1555	DKC1
G1556	GM24289
G1557	GM23497
G1558	SLC25A36
G1559	TMED2
G1560	ACP6
G1561	GORASP2
G1562	GM23578
G1563	SHKBP1
G1564	ZFYVE21
G1565	IL33
G1566	MARC2
G1567	PGD
G1568	VCAN
G1569	LAMP2
G1570	APP
G1571	LAD1
G1572	ITGA6
G1573	LRP2
G1574	FRRS1
G1575	RNPEPL1
G1576	GM25500
G1577	PDK1
G1578	LAMA1
G1579	KDELR3
G1580	GM45105
G1581	NSMAF
G1582	SNX1
G1583	RRP1B
G1584	GM10182
G1585	FAHD2A
G1586	DDAH2
G1587	ECT2
G1588	SNHG12
G1589	COL4A2
G1590	SNORA81
G1591	MIR5121
G1592	MIR6394
G1593	RPS6KA6
G1594	GM43110
G1595	CAR4
G1596	GM25316
G1597	SORD
G1598	ZFP980
G1599	NKTR
G1600	GRAMD1A
G1601	PXDN
G1602	PCNA
G1603	SUSD2
G1604	GM23833
G1605	PITPNC1
G1606	TNS4
G1607	NPHS1
G1608	GM26447
G1609	SLC7A5
G1610	TPX2
G1611	FAM234A
G1612	BEND5
G1613	XAF1
G1614	REV1
G1615	SLC26A10
G1616	SPRY4
G1617	CRYAB
G1618	PLOD1
G1619	PNP
