#ID	Name
G0	BRWD1
G1536	DDAH1
G1537	TMEM144
G1538	GM25158
G1539	GFPT1
G1540	CSRP1
G1541	CUL7
G1542	GM13165
G1543	NRG2
G1544	CSRP2
G1545	FGFR4
G1546	MT2
G1547	ARHGEF5
G1548	BCAS3
G1549	GM15459
G1550	TENM4
G1551	APP
G1552	TXNDC11
G1553	HOOK1
G1554	SLC16A1
G1555	GM23651
G1556	RENBP
G1557	VAMP8
G1558	ASPH
G1559	PSAP
G1560	GFPT2
G1561	GM28439
G1562	TRH
G1563	GM22988
G1564	USP9X
G1565	ENAH
G1566	MRPL42
G1567	ILDR1
G1568	CALM2
G1569	D230025D16RIK
G1570	GM4617
G1571	CCNG1
G1572	EPHA2
G1573	CENPV
G1574	UBQLN2
G1575	TET2
G1576	SHF
G1577	HSPA5
G1578	ATP6V0A1
G1579	MTHFD2
G1580	CYP26A1
G1581	SLC45A4
G1582	PCSK6
G1583	GM28030
G1584	CTNNAL1
G1585	ZFP991
G1586	TMEM9
G1587	GM22862
G1588	LAMB1
G1589	GJA1
G1590	TTC7
G1591	TPX2
G1592	USP28
G1593	ARFGAP1
G1594	GM25663
G1595	SNX25
G1596	GM14870
G1597	LRRC1
G1598	NRG1
G1599	CDCA7
G1600	GM26280
G1601	GLDC
G1602	MIR291B
G1603	SFMBT2
G1604	RMC1
G1605	ICAM1
G1606	DKC1
G1607	GM28037
G1608	GM20721
G1609	GLMP
G1610	GM27326
G1611	S100A6
G1612	TXNIP
G1613	SPOCK1
G1614	SLC25A36
G1615	PDGFA
G1616	ACP6
G1617	COPA
G1618	GM13166
G1619	TBRG1
